Date   ;Time         Channel;Channel;BPM;Antenna;Power
2015-06-03;09:18:46;1;23.7;1;60
2015-06-03;09:18:49;1;23.7;1;60
2015-06-03;09:18:51;1;23.7;1;58
2015-06-03;09:18:54;1;23.7;1;60
2015-06-03;09:18:56;1;23.7;1;61
2015-06-03;09:18:59;1;23.7;1;62
2015-06-03;09:19:01;1;23.7;1;62
2015-06-03;09:19:04;1;23.7;1;62
2015-06-03;09:19:07;1;23.7;1;71
2015-06-03;09:19:09;1;23.7;1;76
2015-06-03;09:19:12;1;23.7;1;76
2015-06-03;09:19:14;1;23.7;1;75
2015-06-03;09:19:17;1;23.7;1;76
2015-06-03;09:19:19;1;23.7;1;75
2015-06-03;09:19:22;1;23.7;1;73
2015-06-03;09:19:24;1;23.7;1;69
2015-06-03;09:19:27;1;23.7;1;70
2015-06-03;09:19:29;1;23.7;1;62
2015-06-03;09:19:32;1;23.7;1;55
2015-06-03;09:19:34;1;23.7;1;66
2015-06-03;09:19:37;1;23.7;1;72
2015-06-03;09:19:39;1;23.7;1;70
2015-06-03;09:19:45;1;23.7;1;67
2015-06-03;09:19:47;1;23.7;1;70
2015-06-03;09:19:50;1;23.7;1;71
2015-06-03;09:19:52;1;23.7;1;69
2015-06-03;09:19:55;1;23.7;1;71
2015-06-03;09:19:57;1;23.7;1;71
2015-06-03;09:20:00;1;23.7;1;68
2015-06-03;09:20:02;1;23.7;1;69
2015-06-03;09:20:07;1;23.7;1;69
2015-06-03;09:20:10;1;23.7;1;68
2015-06-03;09:20:12;1;23.7;1;69
2015-06-03;09:20:15;1;23.7;1;69
2015-06-03;09:20:17;1;23.7;1;69
2015-06-03;09:20:20;1;23.7;1;69
2015-06-03;09:20:23;1;23.7;1;68
2015-06-03;09:20:25;1;23.7;1;69
2015-06-03;09:20:28;1;23.7;1;69
2015-06-03;09:20:30;1;23.7;1;69
2015-06-03;09:20:33;1;23.7;1;70
2015-06-03;09:20:35;1;23.7;1;71
2015-06-03;09:20:38;1;23.7;1;71
2015-06-03;09:20:40;1;23.7;1;70
2015-06-03;09:20:43;1;23.7;1;71
2015-06-03;09:20:45;1;23.7;1;71
2015-06-03;09:20:48;1;23.7;1;70
2015-06-03;09:20:50;1;23.7;1;71
2015-06-03;09:20:53;1;23.7;1;71
2015-06-03;09:20:55;1;23.7;1;71
2015-06-03;09:20:58;1;23.7;1;71
2015-06-03;09:21:00;1;23.7;1;71
2015-06-03;09:21:03;1;23.7;1;68
2015-06-03;09:21:09;1;23.7;1;71
2015-06-03;09:21:12;1;23.7;1;70
2015-06-03;09:21:14;1;23.7;1;71
2015-06-03;09:21:17;1;23.7;1;70
2015-06-03;09:21:19;1;23.7;1;70
2015-06-03;09:21:22;1;23.7;1;70
2015-06-03;09:21:24;1;23.7;1;71
2015-06-03;09:21:27;1;23.7;1;70
2015-06-03;09:21:29;1;23.7;1;71
2015-06-03;09:21:32;1;23.7;1;71
